id,gender,hand,exercise,measure,value
7714,F,dominant,isometric,grip_pre_isometric,49
7714,F,dominant,isometric,grip_post_isometric,10
7714,F,dominant,isometric,isometric_fatigue_time,121
7714,F,dominant,isometric,pre_minus_post_isometric,39
7714,F,non-dominant,isotonic,grip_pre_any_exercise,33
7714,F,non-dominant,isotonic,grip_post_isotonic,12
7714,F,non-dominant,isotonic,isotonic_fatigue_time,63
7714,F,non-dominant,isotonic,post_minus_pre_isotonic,21
7714,F,non-dominant,isometric,grip_pre_isometric,33
7714,F,non-dominant,isometric,grip_post_isometric,6
7714,F,non-dominant,isometric,isometric_fatigue_time,118
7714,F,non-dominant,isometric,pre_minus_post_isometric,27
2124,F,dominant,isotonic,grip_pre_any_exercise,23
2124,F,dominant,isotonic,grip_post_isotonic,20
2124,F,dominant,isotonic,isotonic_fatigue_time,38
2124,F,dominant,isotonic,post_minus_pre_isotonic,3
2124,F,dominant,isometric,grip_pre_isometric,28
2124,F,dominant,isometric,grip_post_isometric,38
2124,F,dominant,isometric,isometric_fatigue_time,30
2124,F,dominant,isometric,pre_minus_post_isometric,-10
2124,F,non-dominant,isotonic,grip_pre_any_exercise,20
2124,F,non-dominant,isotonic,grip_post_isotonic,20
2124,F,non-dominant,isotonic,isotonic_fatigue_time,30
2124,F,non-dominant,isotonic,post_minus_pre_isotonic,0
2124,F,non-dominant,isometric,grip_post_isometric,38
2124,F,non-dominant,isometric,isometric_fatigue_time,40
1969,M,dominant,isotonic,grip_pre_any_exercise,62
1969,M,dominant,isotonic,grip_post_isotonic,38
1969,M,dominant,isotonic,isotonic_fatigue_time,64
1969,M,dominant,isotonic,post_minus_pre_isotonic,24
1969,M,dominant,isometric,grip_pre_isometric,75
1969,M,dominant,isometric,grip_post_isometric,48
1969,M,dominant,isometric,isometric_fatigue_time,43
1969,M,dominant,isometric,pre_minus_post_isometric,27
1969,M,non-dominant,isotonic,grip_pre_any_exercise,50
1969,M,non-dominant,isotonic,grip_post_isotonic,38
1969,M,non-dominant,isotonic,isotonic_fatigue_time,61
1969,M,non-dominant,isotonic,post_minus_pre_isotonic,12
1969,M,non-dominant,isometric,grip_pre_isometric,60
1969,M,non-dominant,isometric,grip_post_isometric,38
1969,M,non-dominant,isometric,isometric_fatigue_time,40
1969,M,non-dominant,isometric,pre_minus_post_isometric,12
1003,M,dominant,isotonic,grip_pre_any_exercise,72
1003,M,dominant,isotonic,grip_post_isotonic,58
1003,M,dominant,isotonic,isotonic_fatigue_time,50
1003,M,dominant,isotonic,post_minus_pre_isotonic,14
1003,M,dominant,isometric,grip_pre_isometric,42
1003,M,dominant,isometric,grip_post_isometric,26
1003,M,dominant,isometric,isometric_fatigue_time,17
1003,M,dominant,isometric,pre_minus_post_isometric,16
1003,M,non-dominant,isotonic,grip_pre_any_exercise,20
1003,M,non-dominant,isotonic,grip_post_isotonic,28
1003,M,non-dominant,isotonic,isotonic_fatigue_time,104
1003,M,non-dominant,isotonic,post_minus_pre_isotonic,-8
1003,M,non-dominant,isometric,grip_pre_isometric,13
1003,M,non-dominant,isometric,grip_post_isometric,26
1003,M,non-dominant,isometric,isometric_fatigue_time,45
1003,M,non-dominant,isometric,pre_minus_post_isometric,-6
1920,F,dominant,isotonic,grip_pre_any_exercise,31
1920,F,dominant,isotonic,grip_post_isotonic,20
1920,F,dominant,isotonic,isotonic_fatigue_time,100
1920,F,dominant,isotonic,post_minus_pre_isotonic,11
1920,F,dominant,isometric,grip_pre_isometric,22
1920,F,dominant,isometric,grip_post_isometric,26
1920,F,dominant,isometric,isometric_fatigue_time,38
1920,F,dominant,isometric,pre_minus_post_isometric,-4
1920,F,non-dominant,isotonic,grip_pre_any_exercise,22
1920,F,non-dominant,isotonic,grip_post_isotonic,11
1920,F,non-dominant,isotonic,isotonic_fatigue_time,100
1920,F,non-dominant,isotonic,post_minus_pre_isotonic,11
1920,F,non-dominant,isometric,grip_pre_isometric,13
1920,F,non-dominant,isometric,grip_post_isometric,26
1920,F,non-dominant,isometric,isometric_fatigue_time,110
1920,F,non-dominant,isometric,pre_minus_post_isometric,-4
1147,F,dominant,isotonic,grip_pre_any_exercise,31
1147,F,dominant,isotonic,grip_post_isotonic,35
1147,F,dominant,isotonic,isotonic_fatigue_time,70
1147,F,dominant,isotonic,post_minus_pre_isotonic,-4
1147,F,dominant,isometric,grip_pre_isometric,47
1147,F,dominant,isometric,grip_post_isometric,38
1147,F,dominant,isometric,isometric_fatigue_time,60
1147,F,dominant,isometric,pre_minus_post_isometric,9
1147,F,non-dominant,isotonic,grip_pre_any_exercise,25
1147,F,non-dominant,isotonic,grip_post_isotonic,10
1147,F,non-dominant,isotonic,isotonic_fatigue_time,43
1147,F,non-dominant,isotonic,post_minus_pre_isotonic,15
1147,F,non-dominant,isometric,grip_pre_isometric,28
1147,F,non-dominant,isometric,grip_post_isometric,10
1147,F,non-dominant,isometric,isometric_fatigue_time,52
1147,F,non-dominant,isometric,pre_minus_post_isometric,15
3803,F,dominant,isotonic,grip_pre_any_exercise,35
3803,F,dominant,isotonic,grip_post_isotonic,28
3803,F,dominant,isotonic,isotonic_fatigue_time,32
3803,F,dominant,isotonic,post_minus_pre_isotonic,7
3803,F,dominant,isometric,grip_pre_isometric,42
3803,F,dominant,isometric,grip_post_isometric,32
