id,gender,hand,exercise,condition,value
3803,F,dominant,isotonic,after-before,7
3803,F,dominant,isometric,before,42
3803,F,dominant,isometric,after,32
3803,F,dominant,isometric,time,36
3803,F,dominant,isometric,after-before,10
3803,F,non-dominant,isotonic,before-any,22
3803,F,non-dominant,isotonic,after,17
3803,F,non-dominant,isotonic,time,35
3803,F,non-dominant,isotonic,after-before,5
3803,F,non-dominant,isometric,before,15
3803,F,non-dominant,isometric,after,15
3803,F,non-dominant,isometric,time,36
3803,F,non-dominant,isometric,after-before,7
1012,F,dominant,isotonic,before,25
1012,F,dominant,isotonic,after,20
1012,F,dominant,isotonic,time,40
1012,F,dominant,isotonic,after-before,5
1012,F,dominant,isometric,before,28
1012,F,dominant,isometric,after,6
1012,F,dominant,isometric,time,45
1012,F,dominant,isometric,after-before,22
1012,F,non-dominant,isotonic,before-any,4
1012,F,non-dominant,isotonic,after,13
1012,F,non-dominant,isotonic,time,35
1012,F,non-dominant,isotonic,after-before,-9
1012,F,non-dominant,isometric,before,10
1012,F,non-dominant,isometric,after,10
1012,F,non-dominant,isometric,time,45
1012,F,non-dominant,isometric,after-before,-6
